"V1","V2"
"Gabriela Wood","Boa tarde previdência!Minha mãe entrou com o pedido de aposentadoria. Já levou toda a documentação. Gostaria de saber se há possibilidade de consultar esse pedido?Se tiver qual site eu preciso entrar.Obs: ela ainda não tem numero do beneficio."
"Marlene Cardozo","Boa tarde minha aposentadoria esta um dilema. No começo de dezembro deste ano completo 85 pontos para aposentar pela 85/95 ou seja daqui 4 meses. Estou anciosa e se mudar a lei esta espera caiu por terra. Pergunta :se a reforma da previdência passar pelos depultados e depois pelo senado até  o d ..."
"Érica Borges Miranda","Olá já faz mais de mês que tento consultar o extrato de crédito do benefício e sempre aparece a mensagem "" SERVIÇO INDISPON<c3>?VEL TENTE MAIS TARDE"" quando será resolvida esta questão???"
"Juliana Martins Lopes","Minha mãe está a 4 anos morando comigo e ela tem Alzheimer e é dependente de mim para tudo e eu não trabalho mais devido a isso pois ela veio morar comigo eu posso receber algum benefício ou se pode ter um reajuste no benefício dela."
"Silma Reis","Pra quem trabalha como pintor autônomo meu marido ja tem 31 anos de recolhimento tem salubridade na hora de aposentar e qtos anos deve aposentar  sendo q só  falta 4 anos pra completar 35"
"Ricardo Oliveira","Olátenho uma pergunta simplesos peritos do INSS são capacitado para diagnosticar ou fazer a perícia numa pessoa que tem problema mentais? Não seria melhor um psiquiatra fazer a perícia pra ver se realmente pessoa tem o problema ao invés do perito do INSS? Obrigado pela atenção."
"Loana Sotero","Estou a quinze dias tentando acessar meu extrato de pagamento e só informa que o serviço está temporariamente fora do ar. Já tentei Chrome Firefox e Internet Explorer."
"Vera Lúcia Mary Kay","Bom dia gostaria de saber porque não veio minha primeira parcela do dessimo terceiro"
"Mario Sergio Baeta Cordova","Olá!No site da Previdência eu localizei dois tipos de simulações relativas à Aposentadoria por Tempo de Contribuição: A simulação da contagem do tempo de contribuição e a simulação da renda inicial (feita com o preenchimento da planilha em que se informa todos os salários de contribuição desde Julh ..."
"Vanessa Parente","Nao consigo visualizar o extrato. O serviço está sempre indisponivel"
"Malu Froes","Mês passado relatei várias vezes que não conseguia acessar o meu extrato por este horroroso novo canal.Disseram que estava tudo bem e que tinha sido uma instabilidade momentânea. Aguardei pacientemente virar o mês  passar os primeiros dias de pagamento e fui verificar.Nada. Não funciona.Nada do meu  ..."
"Dan Oliveira","pra que?tem mais de uma semana que o site não funciona  não consegue ver nada nessa droga de site preciso ver meu extrato e sempre está serviço indisponível no momento tem mais de uma semana.consigo consultar das outras pessoas o meu mesmo não.]"
"Arnaldo B. Filho","Quando o tal do ""Meu INSS"" vai funcionar para emitir o extrato de pagamento??? Já faz meses que só emite ""Serviço indisponível no momento. Por favor tente mais tarde.""  Sugiro reativar a página antiga de emissão do extrato. E tem mais quando solicitei a emissão da Carta de Concessão os dados most ..."
"Maycon Gop","Para solicitar o Histórico de Perícia Médica (HISMED) e Informações do Benefício (INFBEN) onde consta o CID e o período de afastamento da doença. Posso ir em qualquer agencia do INSS ?"
"Karina Mello","PELO AMOR DE DEUS Meu tio faleceu no dia 26/07 e minha tia Patricia Cristina ligou no 135 para fazer o agendamento para dar entrada na pensão por morte. Ela agendou para o dia 03/08 Mas passou muito mal no dia e não compareceu. Ela ligou novamente para reagendar e disseram que ela deveria aguardar  ..."
"Rafael Rebello","Todas as empresas agora pedem o CNIS aí vc que precisa do emprego é descartado se por exemplo teve algum benefício  lamentável conserteza as empresas não contrata se tiver recebido benefício"
"Alexsandro Jose","Boa tarde quando está afastado por auxílio doença pra retornar ao trabalho precisa marcar novamente a prericia pra ser liberado"
"José Carlos Rondel","Como proceder neste caso ? A empresa me forneceu dctos para aposentadoria com. Tres datas diferentes na minha demissão   PPP ( uma data )  carteira de trabalho ( uma data ). Ficha de registro uma outra data. A saber ... Ganhei um processo contra a empresa por vínculo empregatício ...  O Ministério ..."
"Antonio Vieira","Minha mae faleceu dia  6 de agosto gostaria de saber se tenho direito de  receber uma parte de seu decimo para quitar dividas e se tenho que ir ao inss para cancelar ja que eu era sua curadora pois esta em meu nome"
"Fabiane Girardi","Boa tarde tive meu salário maternidade concedido recebi a carta dizendo que poderia ir no banco e retirar o dinheiro porém fui no banco informado na carta e não consta nenhum valor. No 135 ninguém soube me informar voces poderiam me auxiliar por gentileza? Obrigada"
"Fábio José Lourenço","Boa tarde Gostaria de saber: trabalhei em 85 até 87. Só que sumiu ou está omitido no Cnis o ano de 86 e tenho certeza que a empresa fez os recolhimentos.  Como faço para esses recolhimentos aparecerem no Cnis?"
"Gilberto Cordeiro Cordeiro","Dei entrada exatamente em fevereiro de 2016 com 35 anos de contribuição até agora nada....fui ver me disseram sobre se era optante em 88 no fgts ...eu que vou saber....vocês que deveriam saber ....to aguardando....desconfiando desta agência aqui de Atibaia SP.."
"Adriana Dri Presta","'É absurdo o que vcs fazem com as pessoas. Mais absurdo ainda o tipo de médico que vcs colocam para fazer perícias"
"Previdência Social","Alerta população! Recebeu uma ligação do Conselho Nacional de Previdência? É fraude! A Secretaria de Previdência Social informa que estelionatários pedem dados pessoais e prometem direito a resgate de benefícios em troca de depósito em dinheiro. Não caia nessa! Todos os serviços da instituição são  ..."
"Edilson Frazato","Olá Bom Dia meu Nome é Josy Frazato estou tentando visualizar data de pagamento de beneficio pelo Meu INSS e só diz que o serviço está indisponível isso já está fazendo 15 dias hoje fui ao orelhão ligar 135 para fazer a reclamação fiquei lá 40 minutos e a chamada só mostra sinal de ocupado te ..."
"Leandro Macayo","Quando o site da previdência volta a funcionar?  Já tem uns dias que está dando erro nao consigo consultar minha perícia e muito menos por telefone os atendentes não consegue passar uma informação correta só pedi para ir tentando fala sério."
"Ediley Castro","É ne mas as Agências tão vazando informações dos benceficiarios. Só hoje foram 4 ligações de instituições bancárias oferecendo credito à aposentado e detalhe: antes da carta oficial chegar à residência."
"Maria Aparecida Leonidas","Estou  tentando  marcar  uma perícia  pelo 135 já faz 20 dias por que  cortaram o meu  encosto  porque  é  tão  difícil  marcar  uma perícia médica  não  consigo  entender  já fiz de tudo  só  me enrolando  Maria Aparecida Leonidas tenho  h.i.v  e problemas  nos  joelhos  e nos ombros  por favor me  ..."
"Edileuza Abreu","Bom dia a 2 meses atrás fiz uma cirurgia a Histerectomia essa cirurgia retira útero trompas e ovários a médica me deu 30 dias de atestado porém fui informada que era inconstitucional e que devia fazer uma perícia médica para receber 15 dias do auxílio doença devido a impossibilidade de me loc ..."
"Pathy Oliveira","Boa noite nao consigo ver o resultado da minha pericia pelo site diz que o agendamendo nao foi encontrado e pelo 135 fico no telefone mais de 1 hora e ninguem atende"
"Carlinhos Aniceto","Agência do INSS em Barueri SP fechada cadê o compromisso com a sociedade que situação vergonha ..."
"Mima Fernandes","Oi bom dia já faz mais de 20 dias que fiz a solicitação de 2 via da ""certidão de dependentes"" pelo Site e até agora n chegou queria saber se realmente vcs enviam pelo correio essa certidão solicitada?"
"Genival Carnauba","Se todos os bancos fizessem as digitais dos clientes evitariam que os aposentados tivessem que comprovar que estão vivos. O INSS estaria sempre atualizado."
"Marcelo Pereira","venho atraves deste  mostrar minha indignaçao com esse maldito inss numca resolve nada  e<f0><U+009F><U+0091><U+00BF><f0><U+009F><U+0091><U+00B9><f0><U+009F><U+0091><U+00BA>sse bando de sangue -suga do país meu axilio doença foi cortado a 06 meses devido a incopetencia desses peritos amaldiçoados que só sabe ficar rindo quen inhena  e nao resolvem nadaTEM AÇLGUM ORGAO S ..."
"Denise Drumond Dede Cariúcha","Vieram aqui na vizinha  hoje que recebe auxílio  idoso  dois homens com crachás  da previdência  falando que veio cadastrar em um cadastro único.Ela ficou resseosa  e não abriu a porta.A previdência  está enviando funcionários para ir em residências ?"
"Neyre Mo","Recebi ligação do número 11 9 9943 8159 se dizendo representante financeiro do Conselho Nacional de Previdência junto ao INSS e que estavam me ofertando um cartão de crédito a juros reduzidos - já aprovado etc etc... - me passaram várias informações que solicitei e que não tenho como comprovar se ..."
"Jacqueline Pessanha Leite Minari","Como faço para tirar a carta de concessão  pela internet já fiz um codigo provisório com 7 numeros e agora como continuar. Obrigada"
"Macio Enrrique","o aposetado como invalides tem como fazer um emprestimo no banco"
"Carmen Catelli Amaral","ESSE SITE NÃO FUNCIONA NUNCA! EU J<c3>? RECLAMEI NO DATA PREV (MENSAGEM 1005836) O LOGIN É FEITO MAS QUANDO CHEGA NA CONSULTA SÓ SAI O AVISO: Serviço indisponível no momento. Por favor tente mais tarde. POR FAVOR SOLICITO UM RETORNO POIS PELA OUVIDORIA NADA FOI RESOLVIDO. PÉSSIMO ATENDIMENTO NAS AGENCI ..."
"Luiz Carlos Borborema","NENHUM órgão públicoou privadoliga para o cidadão comum quando se trata desteo cidadãoganhar algum dinheiro deles. Logode caradeve-se desconfiar quando receber esse tipo de telefonema.Mas infelizmentesempre tem e sempre teráquem""morda""a isca."
"Luis Antonio De Aguiar Aguiar","O que mais têm neste País é estelionato político eleitoral na saúde educação e principalmente na previdência  com as extorsões e achaques nos benefícios do pobre aposentado brasileiro."
"Drikha Assis","Essa fraude é verdade eu recebo toda semana telefonema de pessoas Rose do que são do INSS e pedem para confirma dados  etc eu desligo na hora eles até manda mensagens dizendo que vai corta o benefício se não fornece os dados fiquem atentos"
"Consumer saver tips","Awesome    I love Home improvement tips"
"Valdirene Val Ferreira","'Valdirene Ferreira Mendonça"
"Rodrigo Evangelista Santos",NA
"Rodrigo Evangelista Santos","INTENSOS SUCESSOS."
"Rodrigo Evangelista Santos","PATRIMÔNIO NACIONAL PS."
"Rodrigo Evangelista Santos","CONSAGRADAS REALIZAÇÕES PS."
"Adrielly Renato","Tetê GiihGih fala p mãe cuidado"
"Previdência Social","#Previdência |A pensão por morte é um benefício pago aos dependentes do segurado do INSS que vier a falecer ou em caso de desaparecimento tiver sua morte presumida declarada judicialmente. Veja informações adicionais no link: http://www.previdencia.gov.br/servicos-ao-cidadao/todos-os-servicos/pens ..."
"Maria Do Carmo Santos Silva","Boa noite me tiram uma dúvida o meu nome é Maria do Carmo quando a pessoa vem falecer mais estava com a perícia marcada para o dia 13 de abriu deste ano mais ela faleceu em marco sendo que duas ela não fez porque estava de greve e outra sem energia tem algum direito pr receber obrigada"
"Viviana Barreto","Previdência boa tarde!Gostaria de saber se já estão sendo chamados para revisão os aposentados por invalidez?E se tem alguma lista para verificar o nome ?"
"Marlene Pizzio","Pergunto: na união estável tbm temos direito a pensão por morte?"
"Bruno Rutowitsch","Olá gostaria de saber como fazer a integração do tempo de servico publico como concursado sem CTPS assinada mas com contracheques com o servico Celetista da Petrobras que ja consta no INSS. Obrigado."
"Landerico Antonio Montebeller","'Ouvidoria &gt"
"Rosy Nunes","Bom dia.sou pensionista desde 90.pensao por morte.desde la o valor veio caindona época eu ganhava a pensão com mais de 2 salários minimos.hoje não chega nem a 1 salário. Sendo assim ser a k posso pedir uma revisão do benefício?"
"Valdeane Silva","Boa tarde gostaria de saber apos resultado do recurso favorável  qual prazo que pra emitir a carta  concessão ?  Previdência Social"
"Karina Mello","PELO AMOR DE DEUS AJUDEM! Meu tio faleceu no dia 26/07 e minha tia Patricia Cristina ligou no 135 para fazer o agendamento para dar entrada na pensão por morte. Ela agendou para o dia 03/08 Mas passou muito mal no dia e não compareceu. Ela ligou novamente para reagendar e disseram que ela deveria ag ..."
"Loana Sotero","Boa tarde. Preciso com urgência do meu extrato de benefício. Tem três dias que tento e o sistema está fora do ar. Por favor verifiquem."
